Name,Type,Building,Floor,Location Description,Latitude,Longitude,StartingTime,ClosingTime,ImageURL
Anna's x Soup Union,Food,Central Library,1,Next to NUS Co-op,1.296444,103.773032,0900hrs,1800hrs,https://raw.githubusercontent.com/CS3219-AY2627S1/FoC-Template/main/data/images/ANNA.jpeg
NUS Co-op,Shopping,Central Library,1,Inside the library on the right side,1.2967866,103.7732677,0900hrs,1600hrs,https://lh3.googleusercontent.com/grass-cs/ACvplmMm2Wd6iUHwM3HCh9UtZklJe3U2pTKH9vLiMoCqxNxogVxfZFjS63xwHQDcuXfSqstx8jvv8bAgCYzGjm12xV9z1zUPN2R7yHn5INhxHt2VykvuCDsJBqmNe4xX05XhthJn1JfVpnOLkHmw=s1360-w1360-h1020-rw
Printer @ Com 2,Printing,Com 2,1,Next to LT19,1.2938347,103.7744572,0000hrs,2359hrs,https://raw.githubusercontent.com/CS3219-AY2627S1/FoC-Template/main/data/images/PRINTER_COM2.jpeg
Cool Spot,Food,Com2,1,Opp LT16,1.2940156,103.7738478,0900hrs,2130hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbKftSoeMWP3T7GaFshaZ0NLOuRsE33l_MwuKA_0jjg9mDfPMREaQGXpFsMZVbW7hTadp4WgrKMDZ0q-DD7TPonC89NaAFOzrAlGVpRyrD-gOywx3dL2ahDFfTGwlLC1A8uIMVtzBjw_6E=s1360-w1360-h1020-rw
InstaChef,Food,Terrace,1,Next to foyer,1.2938898,103.7736305,0000hrs,2359hrs,https://raw.githubusercontent.com/CS3219-AY2627S1/FoC-Template/main/data/images/INSTACHEF.jpeg
Cafe+ Robot Cafe,Food/Coffee,Central Library,1,Opp to central library entrance,1.296444,103.773032,0000hrs,2359hrs,https://raw.githubusercontent.com/CS3219-AY2627S1/FoC-Template/main/data/images/ROBOT_CAFE.jpeg
A Hot Hideout,Food,Prince George's Park,2,Near PGP entrance,1.2908445,103.7770891,1100hrs,2130hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkrNItZxIKyImhH6dKRBAMHPyhjFCMKQWX-NO_nCoDNmsBSn2MhrKYOUcTZu0VdSOmcgq0iKAikd3eVwW_yhkNICQdrVUbhe1TC2oMLWymLInaRe3kryqoilpT_zlxW3rCtGsD0=s1360-w1360-h1020-rw
Arise and Shine,Food,Engineering Block E4,4,Near LT6,1.2991517,103.769064,0800hrs,1800hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlMQJFtn1-R6faY8YON6TXELpF_1ix9IRl2kpFQdaZQ8gLVz-BZoJP_ldTNuLwneALFlP4CAUw3QNZDDexgMC1dZYsPBHlt9CNjk0kQzJG8zTFNh4r4oZYoUxSkShsAtDgkAv2E=s1360-w1360-h1020-rw
Bakehaus / Aurea,Food,The Ridge,1,Near COM2,1.2946778,103.7707872,0800hrs,2100hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnSPhOWOjsovwu98TZpWjiNt6Rb79YXhZtWhw-TMRPT3XP8uItykHUQbU3ppAJZTys49yqlRbKzfMlIBByyzBSXyiXnfkb-BdWUSTYSyJEYVDMJhMtdUZbUET4xYNjWew1l4VgPYfWg2N0=w408-h356-k-no
Central Square @ YIH,Food,Yusof Ishak House,1,Closest to Opp UHC bus stop,1.2984401,103.7726256,0800hrs,2000hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnUshwdsGvjqWDr5IcLlUYijZ3CALJYoQnzqszWPQfqBxbPHCqAbFmnTlb1Hwk0JiJZxPWfCoiGFJymHKpspsExW0nKjlkLC54nk5F_bGvnYikXoyvfV67B6BdVy8P7SUdh-X9jTmGlMpGY=w408-h306-k-no
